date,canada_house_real,canada_house_real_index_1999,bc_vancouver,bc_vancouver_real,bc_vancouver_real_index_1999,on_toronto,on_toronto_real,on_toronto_real_index_1999,qc_montreal,qc_montreal_real,qc_montreal_real_index_1999,ab_calgary,ab_calgary_real,ab_calgary_real_index_1999,on_ottawa,on_ottawa_real,on_ottawa_real_index_1999,ab_edmonton,ab_edmonton_real,ab_edmonton_real_index_1999
1999-02-01,58.5525,100.0,66.15,66.15,100.0,67.33,67.33,100.0,58.7,58.7,100.0,69.33,69.33,100.0,62.08,62.07999999999999,100.0,61.22,61.22,100.0
1999-03-01,58.7194,100.28504333717603,67.03,66.7385652173913,100.88974333694829,68.45,68.15239130434782,101.22143369129336,58.94,58.68373913043477,99.97229834827048,69.44,69.13808695652173,99.72318903291755,65.25,64.96630434782608,104.64933045719408,61.85,61.58108695652173,100.58981861568397
1999-04-01,58.7194,100.28504333717603,66.8,66.15005405405404,100.00008171436741,69.1,68.42767567567566,101.63029210704838,59.88,59.29738378378378,101.01768958055158,68.84,68.17020540540541,98.32713890870534,64.28,63.654572972972964,102.5363611033714,62.7,62.08994594594595,101.42101591954582
1999-05-01,58.7194,100.28504333717603,67.19,66.39270765911542,100.36690500244202,69.97,69.13971952535059,102.68783532652694,59.92,59.20897518878101,100.86707868616867,69.22,68.39861920172599,98.6565977235338,64.05,63.28996763754044,101.94904580789377,62.41,61.66942826321466,100.7341199987172
1999-06-01,60.36,103.08697322915333,67.19,66.24977395048438,100.15082985711923,72.6,71.58406889128094,106.31823687996575,60.14,59.29842841765339,101.01946919532094,69.61,68.63590958019375,98.9988599166216,63.33,62.443789020452094,100.58600035510969,63.07,62.187427341227114,101.58024720879959
1999-07-01,60.36,103.08697322915333,67.19,66.10745435016112,99.93568306902662,70.33,69.19686358754028,102.77270694718592,60.45,59.47604726100967,101.32205666270812,69.99,68.86234156820622,99.32546021665401,65.02,63.972416756176145,103.04835173353118,63.61,62.58513426423201,102.22988282298597
1999-08-01,60.36,103.08697322915333,67.39,66.16210075026795,100.0182928953408,70.64,69.35288317256163,103.00443067363973,60.91,59.800171489817785,101.87422741025176,70.24,68.96017148981778,99.46656784915301,63.66,62.50006430868167,100.67664998176818,63.6,62.4411575562701,101.99470362017331
1999-09-01,59.4283,101.49575167584646,67.54,66.09683760683761,99.91963357042721,70.78,69.26760683760685,102.8777763814152,60.76,59.4617094017094,101.29763100802282,70.51,69.00337606837607,99.5288851411742,64.72,63.33709401709401,102.02495814609216,63.51,62.15294871794872,101.5239279940358
1999-10-01,59.4283,101.49575167584646,67.39,65.87965848452508,99.59132046035538,71.08,69.48695837780149,103.2035621235727,60.92,59.55466382070437,101.45598606593589,70.77,69.18390608324438,99.78927748917407,64.26,62.81980789754535,101.19170086589138,63.8,62.3701173959445,101.87866284865159
1999-11-01,59.4283,101.49575167584646,67.73,66.28277777777778,100.20072226421432,71.16,69.63948717948718,103.4301012616771,61.32,60.009743589743586,102.23124972699078,70.52,69.01316239316239,99.54300071132612,65.74,64.33529914529913,103.63289166446383,64.25,62.87713675213675,102.70685519787119
1999-12-01,60.0764,102.6026215789249,67.63,66.11427961579508,99.94600093090715,70.84,69.25233724653148,102.85509764819767,61.65,60.268303094983985,102.67172588583303,71.21,69.61404482390607,100.4096997315824,64.78,63.328153681963705,102.01055683306011,63.9,62.46787620064033,102.03834727317924
2000-01-01,60.0764,102.6026215789249,67.77,66.39285561497326,100.36712866964965,72.86,71.37942245989305,106.01429148951887,61.08,59.838802139037426,101.9400377155663,70.7,69.26331550802139,99.9038158200222,65.61,64.2767486631016,103.5385770990683,64.75,63.43422459893048,103.61683207927226
2000-02-01,60.0764,102.6026215789249,67.69,65.89164718384697,99.6094439665109,71.6,69.69776833156216,103.51666171329595,61.54,59.90503719447396,102.05287426656552,71.85,69.94112646121147,100.88147477457301,66.46,64.69432518597236,104.2112196938988,64.5,62.786397449521786,102.55863680091765
2000-03-01,60.0711,102.59356987319073,67.65,65.36645569620254,98.81550369796301,73.06,70.59383966244725,104.84752660396146,61.9,59.81054852320674,101.89190549098252,72.11,69.67590717299578,100.49892856338639,65.51,63.29869198312237,101.96309919961723,65.12,62.92185654008439,102.77990287501535
2000-04-01,60.0711,102.59356987319073,68.06,65.97138624338623,99.72998676248864,72.78,70.54653968253967,104.7772756312783,62.22,60.31060317460317,102.74378735026093,72.67,70.43991534391535,101.60091640547432,66.43,64.39140740740741,103.72327224131351,65.26,63.25731216931217,103.32785391916394
2000-05-01,60.0711,102.59356987319073,68.22,65.84775553213909,99.5430922632488,73.78,71.21441517386722,105.76921903143803,62.46,60.28805057955742,102.70536725648623,72.89,70.355363540569,101.47896082586038,68.59,66.20488935721812,106.64447383572508,66.2,63.89799789251844,104.3743840126077
2000-06-01,60.7041,103.6746509542718,68.78,65.9711832460733,99.72967988824382,73.77,70.75740314136125,105.0904546878973,63.38,60.79170680628272,103.56338467850547,73.72,70.709445026178,101.98967983005628,67.68,64.91610471204189,104.56846764182006,66.32,63.611643979057575,103.90663831927078
2000-07-01,60.7041,103.6746509542718,69.11,66.08012526096033,99.89436925315242,74.45,71.18601252609604,105.72703479295416,64.07,61.26108559498956,104.36300782792087,73.1,69.89519832985386,100.81522909253404,68.06,65.07615866388309,104.82628650754367,67.08,64.13912317327765,104.76825085474952
2000-08-01,60.7041,103.6746509542718,68.54,65.60359456635318,99.17399027415445,74.8,71.59540229885056,106.33506950668432,64.79,62.01425287356322,105.6460866670583,74.04,70.86796238244514,102.21832162475862,69.62,66.6373249738767,107.34105182647666,67.18,64.30185997910135,105.03407379794405
2000-09-01,60.0071,102.48426625677811,68.54,65.33053069719043,98.76119530943375,74.65,71.1544224765869,105.68011655515654,64.46,61.44158168574401,104.6704969092743,73.7,70.24890738813737,101.32541091610756,69.1,65.86430801248699,106.09585697887725,67.32,64.16765868886576,104.81486228171472
2000-10-01,60.0071,102.48426625677811,67.92,64.60510903426791,97.66456392179578,75.48,71.7961370716511,106.63320521558161,64.77,61.60884735202492,104.95544693701007,73.78,70.17910695742472,101.22473237764997,70.55,67.10674974039459,108.09721285501708,67.26,63.97732087227415,104.50395438136908
2000-11-01,60.0071,102.48426625677811,67.8,64.29068322981367,97.18924146608263,75.4,71.49730848861284,106.18937841766352,64.84,61.48389233954452,104.7425763876397,73.49,69.68616977225672,100.51373110090395,72.73,68.96550724637682,111.09134543552968,67.47,63.97776397515528,104.5046781691527
2000-12-01,60.2182,102.84479740403911,68.14,64.54626680455014,97.57561119357541,75.52,71.53704239917269,106.24839209739001,64.54,61.136132368148914,104.15014032052625,74.48,70.55189245087901,101.76242961326845,72.12,68.31635987590487,110.04568278979522,67.86,64.28103412616339,105.00005574348805
